Grantee Name,Grant #,HRSA Program Area,Program Name,Activity Code,Fiscal Year,Financial Assistance,County,State,DUNS #,UEI #
"CAYENNE WELLNESS CENTER AND CHILDREN'S FOUNDATION, INC.",D1JMC42463,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Los Angeles County,CA,024523387,MSDGUD2KH2E7
"MARTIN CENTER, INC",D1JMC42467,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Marion County,IN,084252816,JYS6EHM3L5R9
PIEDMONT HEALTH SERVICES & SICKLE CELL AGENCY,D1JMC42471,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Guilford County,NC,965877368,LYFKUQETG223
Ohio Sickle Cell & Health Assoc Inc,D1JMC42475,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Franklin County,OH,847555984,D953C1NWQ553
SICKLE CELL TEXAS MARC THOMAS FOUNDATION,D1JMC42479,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Travis County,TX,004336339,PYM5FHU3H2J9
METROPOLITAN SEATTLE SICKLE CELL TASK FORCE,D1JMC46835,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$239,680.00",King County,WA,023964784,G42WMW1BADC1
COLORADO PERINATAL CARE QUALITY COLLABORATIVE,A30MC49984,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Denver County,CO,,JAHED3GM2VN1
"HEALTH AND ENVIRONMENT, KANSAS DEPARTMENT OF",A30MC49988,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Shawnee County,KS,175941483,CGSTLVM57LM5
INDIANA STATE DEPARTMENT OF HEALTH,A30MC49992,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Marion County,IN,824799407,GXFMGZLP95D9
MISSOURI HOSPITAL ASSOCIATION,A30MC49996,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Cole County,MO,075911362,VY7EN2CBYLU1
IOWA DEPARTMENT OF PUBLIC HEALTH,A30MC50001,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Polk County,IA,808345920,S47QLSY37VS1
UNIVERSITY OF MONTANA,A30MC50010,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Missoula County,MT,010379790,DAY7Z8ZD48Q3
