Award_Year,Grantee_Name,Grantee_Address,Grantee_City,Grantee_State_Abbreviation,Grantee_ZIP_Code,Grant_Activity_Code,Grant_Number,Grant_Serial_Number,Project_Period_Start_Date,Grant_Project_Period_End_Date,HRSA_Program_Area_Code,HRSA_Program_Area_Name,Grant_Program_Name,US_Congressional_Representative_Name,Complete_County_Name,Name_of_US_Senator_Number_One,Name_of_US_Senator_Number_Two,Data_Warehouse_Record_Create_Date,Grantee_Type_Description,DUNS_Number,Geocoding_Artifact_Address_Primary_X_Coordinate,Geocoding_Artifact_Address_Primary_Y_Coordinate
2023,"HEALTH, LOUISIANA DEPARTMENT OF",1450 Poydras St STE 1652,New Orleans,LA,70112-1227,H34,H34MC33242,33242,2019/09/01,2025/08/31,MCHB,Maternal and Child Health,EMSC Targeted Issue Grants (H34),Troy A. Carter,Orleans Parish,Bill Cassidy,John Kennedy,2024/11/04,U.S. Government Entity,14740455.0,-90.07778628,29.95083183
2023,STATE OF NEW MEXICO FINANCE AND ADMINISTRATION,1120 Paseo de Peralta,Santa Fe,NM,87501-2747,U7E,U7EMC42166,42166,2021/08/01,2026/07/31,MCHB,Maternal and Child Health,Early Childhood Comprehensive Systems: Health Integration Prenatal to Three Program (U7E),Teresa Leger Fernandez,Santa Fe County,Martin Heinrich,Ben Ray Luján,2024/11/04,U.S. Government Entity,117510323.0,-105.9363408,35.68142679
2023,CHICKASAW NATION,520 Arlington St,Ada,OK,74820-2204,U4A,U4AMC44249,44249,2021/09/30,2026/09/29,MCHB,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),Tom Cole,Pontotoc County,James Lankford,Markwayne Mullin,2024/11/04,Other,70848361.0,-96.67214333,34.78177551
2023,"Public Health, California Department of",1615 Capitol Ave,Sacramento,CA,95814-5015,X10,X10MC50289,50289,2023/09/30,2025/09/29,MCHB,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",Doris O. Matsui,Sacramento County,Alex Padilla,Laphonza R. Butler,2024/11/04,U.S. Government Entity,799150615.0,-121.48591901,38.57469406
2023,MINNESOTA DEPARTMENT OF HEALTH,625 Robert St N,Saint Paul,MN,55155,H18,H18MC00026,26,1993/10/01,2027/11/30,MCHB,Maternal and Child Health,MCHB State Systems Development Initiative (H18),Betty McCollum,Ramsey County,Amy Klobuchar,Tina Smith,2024/11/04,U.S. Government Entity,804887321.0,-93.09777602,44.95440305
2023,AL DEPARTMENT OF MENTAL HEALTH & RET,100 N Union St,Montgomery,AL,36104-3719,U4C,U4CMC32312,32312,2018/09/30,2026/09/29,MCHB,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),Barry Moore,Montgomery County,Tommy Tuberville,Katie Boyd Britt,2024/11/04,U.S. Government Entity,929956324.0,-86.29979254,32.37955101
2023,FAMILY VOICES OF WISCONSIN INC,1483 Sunrise Ln,Belleville,WI,53508-9790,H84,H84MC21690,21690,2011/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),Mark Pocan,Dane County,Ron Johnson,Tammy Baldwin,2024/11/04,"Corporate Entity, Federal Tax Exempt",787912711.0,-89.52143964,42.93502807
2023,NEW HAMPSHIRE DEPARTMENT OF HEALTH & HUMAN SERVICES,129 Pleasant St,Concord,NH,03301-3852,H4N,H4NMC49266,49266,2023/07/01,2028/06/30,MCHB,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),Ann M. Kuster,Merrimack County,Jeanne Shaheen,Margaret Wood Hassan,2024/11/04,U.S. Government Entity,11040545.0,-71.54724288,43.19977253
2023,STATE OF MARYLAND INST,653 W Pratt St,Baltimore,MD,21201-1536,H33,H33MC06728,6728,2006/03/01,2027/03/31,MCHB,Maternal and Child Health,EMSC Partnership Grants (H33),Kweisi Mfume,Baltimore City,Benjamin L. Cardin,Chris Van Hollen,2024/11/04,U.S. Government Entity,178508909.0,-76.62549471,39.28606851
2023,UNIVERSITY OF PUERTO RICO MEDICAL SCIENCES CAMPUS,B622 MAIN BUILDING FLR 6,Mayagüez,PR,00935-0001,A30,A30MC50014,50014,2023/09/01,2027/08/31,MCHB,Maternal and Child Health,Alliance for Innovation on Maternal Health (AIM) Capacity (A30),Jenniffer Gonzalez-Colon,San Juan Municipio,Not Determined,Not Determined,2024/11/04,U.S. Government Entity,948108063.0,-66.07372298,18.39543399
