ID,Program_Area,Program_Name,Fiscal_Year,Activity_Code,Grant_Number,Grantee_Name,State,County,Congressional_District,Grantee_Class,Awardee_Amount,Grantee_Contact_Details
880,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2021,H49,H49MC27827,Birmingham Healthy Start Plus Inc,AL,Jefferson,AL-06,"Corporate Entity, Federal Tax Exempt",1269121,"1105 52nd St S  Birmingham, AL 35222-3924 "
881,Maternal and Child Health,Maternal and Child Health Nutrition Training Program,2021,T79,T79MC00011,University Of Alabama At Birmingham,AL,Jefferson,AL-07,Other,225000,"701 20th St S  Birmingham, AL 35233-2031 "
882,Maternal and Child Health,Leadership Education  in Adolescent Health (LEAH),2021,T71,T71MC24209,University Of Alabama At Birmingham,AL,Jefferson,AL-07,Other,437942,"701 20th St S  Birmingham, AL 35233-2031 "
883,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2021,T73,T73MC00003,University Of Alabama At Birmingham,AL,Jefferson,AL-07,Other,713466,"701 20th St S  Birmingham, AL 35233-2031 "
884,Maternal and Child Health,Pediatric Pulmonary Centers,2021,T72,T72MC00001,University Of Alabama At Birmingham,AL,Jefferson,AL-07,Other,340000,"701 20th St S  Birmingham, AL 35233-2031 "
885,Maternal and Child Health,Sickle Cell Treatment Demonstration Program,2021,U1E,U1EMC42461,University Of Alabama At Birmingham,AL,Jefferson,AL-07,Other,1150000,"701 20th St S  Birmingham, AL 35233-2031 "
886,Maternal and Child Health,Family Professional Partnership/CSHCN,2021,H84,H84MC12901,"FAMILY VOICES OF ALABAMA, INC.",AL,Mobile,AL-01,"Corporate Entity, Federal Tax Exempt",96750,"1050 Government St  Mobile, AL 36604-2404 "
887,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2021,H49,H49MC27816,GIFT OF LIFE FOUNDATION,AL,Montgomery,AL-02,"Corporate Entity, Federal Tax Exempt",985898,"1348 Carmichael Way  Montgomery, AL 36106-3694 "
888,Maternal and Child Health,EMSC Partnership Grants,2021,H33,H33MC06713,"PUBLIC HEALTH, ALABAMA DEPARTMENT OF",AL,Montgomery,AL-02,U.S. Government Entity,130000,"201 Monroe St Ste 1050  Montgomery, AL 36104-6959 "
889,Maternal and Child Health,Maternal and Child Health Services,2021,B04,B04MC40113,"PUBLIC HEALTH, ALABAMA DEPARTMENT OF",AL,Montgomery,AL-02,U.S. Government Entity,11523951,"201 Monroe St Ste 1050  Montgomery, AL 36104-6959 "
