State_Agency_or_Indian_Tribal_Organization,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,Average_Participation
Connecticut,9894.0,9789.0,9553.0,9697.0,9578.0,9825.0,9868.0,10044.0,10086.0,10004.0,10202.0,10140.0,9890.0
Maine,3443.0,3377.0,3437.0,3538.0,3508.0,3593.0,3612.0,3696.0,3693.0,3694.0,3674.0,3629.0,3574.5
Massachusetts,24168.0,23985.0,24108.0,24434.0,24516.0,24880.0,24716.0,25157.0,24995.0,24832.0,24987.0,24787.0,24630.416666666668
New Hampshire,2455.0,2465.0,2436.0,2481.0,2442.0,2511.0,2465.0,2573.0,2554.0,2491.0,2432.0,2323.0,2469.0
New York,87354.0,87723.0,87621.0,88606.0,88277.0,90684.0,90147.0,91340.0,90937.0,90338.0,91252.0,91205.0,89623.66666666667
Rhode Island,3645.0,3671.0,3657.0,3784.0,3775.0,3979.0,3952.0,3969.0,3999.0,3976.0,3930.0,3963.0,3858.3333333333335
Vermont,2199.0,2190.0,2185.0,2161.0,2145.0,2170.0,2157.0,2162.0,2168.0,2186.0,2163.0,2191.0,2173.0833333333335
Virgin Islands,628.0,622.0,612.0,610.0,610.0,623.0,617.0,630.0,655.0,652.0,655.0,651.0,630.4166666666666
"Indian Township, ME",19.0,8.0,6.0,7.0,8.0,12.0,13.0,16.0,16.0,16.0,13.0,14.0,12.333333333333334
"Pleasant Point, ME",9.0,6.0,7.0,8.0,11.0,12.0,12.0,11.0,14.0,14.0,15.0,13.0,11.0
Northeast Region,133814.0,133836.0,133622.0,135326.0,134870.0,138289.0,137559.0,139598.0,139117.0,138203.0,139323.0,138916.0,136872.75
Delaware,3886.0,3916.0,4041.0,4072.0,4103.0,4237.0,4134.0,4270.0,4229.0,4304.0,4265.0,4307.0,4147.0
District of Columbia,2565.0,2583.0,2639.0,2727.0,2742.0,2826.0,2829.0,2931.0,2959.0,2992.0,3081.0,3055.0,2827.4166666666665
Maryland,28799.0,28405.0,27984.0,28179.0,28117.0,28542.0,28376.0,28733.0,28417.0,28201.0,28086.0,28070.0,28325.75
New Jersey,34376.0,34596.0,34583.0,35457.0,35768.0,36601.0,36561.0,36756.0,36533.0,36046.0,35855.0,35038.0,35680.833333333336
